Province,District,Municipality
Lumbini,Palpa,Mathagadhi Rural Municipality
Lumbini,Palpa,Tinahu Rural Municipality
Lumbini,Dang,Ghorahi Sub-Metropolitan City
Lumbini,Dang,Tulsipur Sub-Metropolitan City
Lumbini,Dang,Lamahi Municipality
Lumbini,Dang,Gadhawa Rural Municipality
Lumbini,Dang,Rajpur Rural Municipality
Lumbini,Dang,Shantinagar Rural Municipality
Lumbini,Dang,Rapti Rural Municipality
Lumbini,Dang,Banglachuli Rural Municipality
Lumbini,Dang,Dangisharan Rural Municipality
Lumbini,Dang,Babai Rural Municipality
Lumbini,Pyuthan,Sworgadwari Municipality
Lumbini,Pyuthan,Pyuthan Municipality
Lumbini,Pyuthan,Mandavi Rural Municipality
Lumbini,Pyuthan,Sarumarani Rural Municipality
Lumbini,Pyuthan,Ayirawati Rural Municipality
Lumbini,Pyuthan,Mallarani Rural Municipality
Lumbini,Pyuthan,Jhimruk Rural Municipality
Lumbini,Pyuthan,Naubahini Rural Municipality
Lumbini,Pyuthan,Gaumukhi Rural Municipality
Lumbini,Rolpa,Rolpa Municipality
Lumbini,Rolpa,Runtigadi Rural Municipality
Lumbini,Rolpa,Triveni Rural Municipality
Lumbini,Rolpa,Sunil Smiriti Rural Municipality
Lumbini,Rolpa,Lungri Rural Municipality
Lumbini,Rolpa,Sunchhahari Rural Municipality
Lumbini,Rolpa,Thawang Rural Municipality
Lumbini,Rolpa,Madi Rural Municipality
Lumbini,Rolpa,GangaDev Rural Municipality
Lumbini,Rolpa,Pariwartan Rural Municipality
Lumbini,Eastern Rukum,Putha Uttarganga Rural Municipality
Lumbini,Eastern Rukum,Bhume Rural Municipality
Lumbini,Eastern Rukum,Sisne Rural Municipality
Lumbini,Banke,Nepalgunj Sub-Metropolitan City
Lumbini,Banke,Kohalpur Municipality
Lumbini,Banke,Rapti-Sonari Rural Municipality
Lumbini,Banke,Narainapur Rural Municipality
Lumbini,Banke,Duduwa Rural Municipality
Lumbini,Banke,Janaki Rural Municipality
Lumbini,Banke,Khajura Rural Municipality
Lumbini,Banke,Baijanath Rural Municipality
Lumbini,Bardiya,Gulariya Municipality
Lumbini,Bardiya,Rajapur Municipality
Lumbini,Bardiya,Madhuwan Municipality
Lumbini,Bardiya,Thakurbaba Municipality
Lumbini,Bardiya,Basgadhi Municipality
Lumbini,Bardiya,Barbardiya Municipality
Lumbini,Bardiya,Badhaiyatal Rural Municipality
Lumbini,Bardiya,Geruwa Rural Municipality
Karnali,Western Rukum,Aathabiskot Municipality
Karnali,Western Rukum,Musikot Municipality
Karnali,Western Rukum,Chaurjahari Municipality
Karnali,Western Rukum,SaniBheri Rural Municipality
Karnali,Western Rukum,Triveni Rural Municipality
Karnali,Western Rukum,Banphikot Rural Municipality
Karnali,Salyan,Kumakh Rural Municipality
Karnali,Salyan,Kalimati Rural Municipality
Karnali,Salyan,Chhatreshwari Rural Municipality
Karnali,Salyan,Darma Rural Municipality
Karnali,Salyan,Kapurkot Rural Municipality
Karnali,Salyan,Triveni Rural Municipality
Karnali,Salyan,Siddha Kumakh Rural Municipality
Karnali,Salyan,Bagchaur Municipality
Karnali,Salyan,Shaarda Municipality
Karnali,Salyan,Bangad Kupinde Municipality
Karnali,Dolpa,Mudkechula Rural Municipality
Karnali,Dolpa,Kaike Rural Municipality
Karnali,Dolpa,She Phoksundo Rural Municipality
Karnali,Dolpa,Jagadulla Rural Municipality
Karnali,Dolpa,Dolpo Buddha Rural Municipality
Karnali,Dolpa,Chharka Tongsong Rural Municipality
Karnali,Dolpa,Thuli Bheri Municipality
Karnali,Dolpa,Tripurasundari Municipality
Karnali,Humla,Simkot Rural Municipality
Karnali,Humla,Sarkegad Rural Municipality
Karnali,Humla,Adanchuli Rural Municipality
Karnali,Humla,Kharpunath Rural Municipality
Karnali,Humla,Tanjakot Rural Municipality
Karnali,Humla,Chankheli Rural Municipality
Karnali,Humla,Namkha Rural Municipality
Karnali,Jumla,Tatopani Rural Municipality
Karnali,Jumla,Patarasi Rural Municipality
Karnali,Jumla,Tila Rural Municipality
Karnali,Jumla,Kanaka Sundari Rural Municipality
Karnali,Jumla,Sinja Rural Municipality
Karnali,Jumla,Hima Rural Municipality
Karnali,Jumla,Guthichaur Rural Municipality
Karnali,Jumla,Chandannath Municipality
Karnali,Kalikot,Khandachakra Municipality
Karnali,Kalikot,Raskot Municipality
Karnali,Kalikot,Tilagufa Municipality
Karnali,Kalikot,Narharinath Rural Municipality
Karnali,Kalikot,Palata Rural Municipality
Karnali,Kalikot,Shubha Kalika Rural Municipality
Karnali,Kalikot,Sanni Triveni Rural Municipality
Karnali,Kalikot,Pachaljharana Rural Municipality
Karnali,Kalikot,Mahawai Rural Municipality
Karnali,Mugu,Khatyad Rural Municipality
Karnali,Mugu,Soru Rural Municipality
Karnali,Mugu,Mugum Karmarong Rural Municipality
Karnali,Mugu,Chhayanath Rara Municipality
Karnali,Surkhet,Simta Rural Municipality
Karnali,Surkhet,Barahatal Rural Municipality
Karnali,Surkhet,Chaukune Rural Municipality
Karnali,Surkhet,Chingad Rural Municipality
Karnali,Surkhet,Gurbhakot Municipality
Karnali,Surkhet,Birendranagar Municipality
Karnali,Surkhet,Bheriganga Municipality
Karnali,Surkhet,Panchapuri Municipality
Karnali,Surkhet,Lekbeshi Municipality
Karnali,Dailekh,Dullu Municipality
Karnali,Dailekh,Gurans Rural Municipality
Karnali,Dailekh,Bhairabi Rural Municipality
Karnali,Dailekh,Naumule Rural Municipality
Karnali,Dailekh,Mahabu Rural Municipality
Karnali,Dailekh,Thantikandh Rural Municipality
Karnali,Dailekh,Bhagawatimai Rural Municipality
Karnali,Dailekh,Dungeshwar Rural Municipality
Karnali,Dailekh,Aathabis Municipality
Karnali,Dailekh,Narayan Municipality
Karnali,Dailekh,Chamunda Bindrasaini Municipality
Karnali,Jajarkot,Chhedagad Municipality
Karnali,Jajarkot,Bheri Municipality
Karnali,Jajarkot,Nalgad Municipality
Karnali,Jajarkot,Junichande Rural Municipality
Karnali,Jajarkot,Kuse Rural Municipality
Karnali,Jajarkot,Barekot Rural Municipality
Karnali,Jajarkot,Shivalaya Rural Municipality
Sudur Paschimanchal,Darchula,Mahakali Municipality
Sudur Paschimanchal,Darchula,Shailyashikhar Municipality
Sudur Paschimanchal,Darchula,Naugad Rural Municipality
Sudur Paschimanchal,Darchula,Malikarjun Rural Municipality
Sudur Paschimanchal,Darchula,Marma Rural Municipality
Sudur Paschimanchal,Darchula,Lekam Rural Municipality
Sudur Paschimanchal,Darchula,Duhun Rural Municipality
Sudur Paschimanchal,Darchula,Vyans Rural Municipality
Sudur Paschimanchal,Darchula,Apihimal Rural Municipality
Sudur Paschimanchal,Bajhang,Jayaprithvi Municipality
Sudur Paschimanchal,Bajhang,Bungal Municipality
Sudur Paschimanchal,Bajhang,Kedarsyu Rural Municipality
Sudur Paschimanchal,Bajhang,Thalara Rural Municipality
Sudur Paschimanchal,Bajhang,Bitthadchir Rural Municipality
Sudur Paschimanchal,Bajhang,Chhabis Pathibhera Rural Municipality
Sudur Paschimanchal,Bajhang,Khaptadchhanna Rural Municipality
Sudur Paschimanchal,Bajhang,Masta Rural Municipality
Sudur Paschimanchal,Bajhang,Durgathali Rural Municipality
Sudur Paschimanchal,Bajhang,Talkot Rural Municipality
Sudur Paschimanchal,Bajhang,Surma Rural Municipality
Sudur Paschimanchal,Bajhang,Saipal Rural Municipality
Sudur Paschimanchal,Bajura,Badimalika Municipality
Sudur Paschimanchal,Bajura,Triveni Municipality
Sudur Paschimanchal,Bajura,Budhiganga Municipality
Sudur Paschimanchal,Bajura,Budhinanda Municipality
Sudur Paschimanchal,Bajura,Khaptad Chhededaha Rural Municipality
Sudur Paschimanchal,Bajura,Swami Kartik Khapar Rural Municipality
Sudur Paschimanchal,Bajura,Jagannath Rural Municipality
Sudur Paschimanchal,Bajura,Himali Rural Municipality
Sudur Paschimanchal,Bajura,Gaumul Rural Municipality
Sudur Paschimanchal,Baitadi,Dashrathchanda Municipality
Sudur Paschimanchal,Baitadi,Patan Municipality
Sudur Paschimanchal,Baitadi,Melauli Municipality
Sudur Paschimanchal,Baitadi,Purchaudi Municipality
Sudur Paschimanchal,Baitadi,Dogdakedar Rural Municipality
Sudur Paschimanchal,Baitadi,Dilashaini Rural Municipality
Sudur Paschimanchal,Baitadi,Sigas Rural Municipality
Sudur Paschimanchal,Baitadi,Pancheshwar Rural Municipality
Sudur Paschimanchal,Baitadi,Surnaya Rural Municipality
Sudur Paschimanchal,Baitadi,Shivanath Rural Municipality
Sudur Paschimanchal,Doti,Dipayal Silgadhi Municipality
Sudur Paschimanchal,Doti,Shikhar Municipality
Sudur Paschimanchal,Doti,Aadarsha Rural Municipality
Sudur Paschimanchal,Doti,Purbichauki Rural Municipality
Sudur Paschimanchal,Doti,K.I.Singh Rural Municipality
Sudur Paschimanchal,Doti,Jorayal Rural Municipality
Sudur Paschimanchal,Doti,Sayal Rural Municipality
Sudur Paschimanchal,Doti,Bogatan-Phudsil Rural Municipality
Sudur Paschimanchal,Doti,Badikedar Rural Municipality
Sudur Paschimanchal,Acham,Ramaroshan Rural Municipality
Sudur Paschimanchal,Acham,Chaurpati Rural Municipality
Sudur Paschimanchal,Acham,Turmakhand Rural Municipality
Sudur Paschimanchal,Acham,Mellekh Rural Municipality
Sudur Paschimanchal,Acham,Dhakari Rural Municipality
Sudur Paschimanchal,Acham,Bannigadi Jayagad Rural Municipality
Sudur Paschimanchal,Acham,Mangalsen Municipality
Sudur Paschimanchal,Acham,Kamalbazar Municipality
Sudur Paschimanchal,Acham,Sanfebagar Municipality
Sudur Paschimanchal,Acham,Panchadewal Binayak Municipality
Sudur Paschimanchal,Dadeldhura,Navadurga Rural Municipality
Sudur Paschimanchal,Dadeldhura,Aalitaal Rural Municipality
Sudur Paschimanchal,Dadeldhura,Ganyapadhura Rural Municipality
Sudur Paschimanchal,Dadeldhura,Bhageshwar Rural Municipality
Sudur Paschimanchal,Dadeldhura,Ajaymeru Rural Municipality
Sudur Paschimanchal,Dadeldhura,Amargadhi Municipality
Sudur Paschimanchal,Dadeldhura,Parshuram Municipality
Sudur Paschimanchal,Kanchanpur,Bhimdatta Municipality
Sudur Paschimanchal,Kanchanpur,Punarbas Municipality
Sudur Paschimanchal,Kanchanpur,Bedkot Municipality
Sudur Paschimanchal,Kanchanpur,Mahakali Municipality
Sudur Paschimanchal,Kanchanpur,Shuklaphanta Municipality
Sudur Paschimanchal,Kanchanpur,Belauri Municipality
Sudur Paschimanchal,Kanchanpur,Krishnapur Municipality
Sudur Paschimanchal,Kanchanpur,Laljhadi Rural Municipality
Sudur Paschimanchal,Kanchanpur,Beldandi Rural Municipality
Sudur Paschimanchal,Kailali,Janaki Rural Municipality
Sudur Paschimanchal,Kailali,Kailari Rural Municipality
Sudur Paschimanchal,Kailali,Joshipur Rural Municipality
Sudur Paschimanchal,Kailali,Bardagoriya Rural Municipality
Sudur Paschimanchal,Kailali,Mohanyal Rural Municipality
Sudur Paschimanchal,Kailali,Chure Rural Municipality
Sudur Paschimanchal,Kailali,Tikapur Municipality
Sudur Paschimanchal,Kailali,Ghodaghodi Municipality
Sudur Paschimanchal,Kailali,Lamkichuha Municipality
Sudur Paschimanchal,Kailali,Bhajni Municipality
Sudur Paschimanchal,Kailali,Godawari Municipality
Sudur Paschimanchal,Kailali,Gauriganga Municipality
Sudur Paschimanchal,Kailali,Dhangadhi Sub-Metropolitan City
