Province,District,Municipality
Madhesh Province,Saptari,Tilathi Koiladi Rural Municipality
Madhesh Province,Saptari,Tirhut Rural Municipality
Madhesh Province,Mahottari,Aaurahi Municipality
Madhesh Province,Mahottari,Balawa Municipality
Madhesh Province,Mahottari,Bardibas Municipality
Madhesh Province,Mahottari,Bhangaha Municipality
Madhesh Province,Mahottari,Gaushala Municipality
Madhesh Province,Mahottari,Jaleshor Municipality
Madhesh Province,Mahottari,Loharpatti Municipality
Madhesh Province,Mahottari,Manara Shiswa Municipality
Madhesh Province,Mahottari,Matihani Municipality
Madhesh Province,Mahottari,Ramgopalpur Municipality
Madhesh Province,Mahottari,Ekdara Rural Municipality
Madhesh Province,Mahottari,Mahottari Rural Municipality
Madhesh Province,Mahottari,Pipara Rural Municipality
Madhesh Province,Mahottari,Samsi Rural Municipality
Madhesh Province,Mahottari,Sonama Rural Municipality
Bagmati,Bhaktapur,Bhaktapur Municipality
Bagmati,Bhaktapur,Changunarayan Municipality
Bagmati,Bhaktapur,Suryabinayak Municipality
Bagmati,Bhaktapur,Madhyapur Thimi Municipality
Bagmati,Chitwan,Bharatpur Metropolitan City
Bagmati,Chitwan,Kalika Municipality
Bagmati,Chitwan,Khairhani Municipality
Bagmati,Chitwan,Madi Municipality
Bagmati,Chitwan,Ratnagar Municipality
Bagmati,Chitwan,Rapti Municipality
Bagmati,Chitwan,Ichchhakamana Rural Municipality
Bagmati,Dhading,Dhunibeshi Municipality
Bagmati,Dhading,Nilkantha Municipality
Bagmati,Dhading,Khaniyabas Rural Municipality
Bagmati,Dhading,Gajuri Rural Municipality
Bagmati,Dhading,Galchhi Rural Municipality
Bagmati,Dhading,Gangajamuna Rural Municipality
Bagmati,Dhading,Jwalamukhi Rural Municipality
Bagmati,Dhading,Thakre Rural Municipality
Bagmati,Dhading,Netrawati Dabjong Rural Municipality
Bagmati,Dhading,Benighat Rorang Rural Municipality
Bagmati,Dhading,Rubi Valley Rural Municipality
Bagmati,Dhading,Siddhalek Rural Municipality
Bagmati,Dhading,Tripurasundari Rural Municipality
Bagmati,Dolakha,Bhimeswor Municipality
Bagmati,Dolakha,Jiri Municipality
Bagmati,Dolakha,Kalinchok Rural Municipality
Bagmati,Dolakha,Melung Rural Municipality
Bagmati,Dolakha,Bigu Rural Municipality
Bagmati,Dolakha,Gaurishankar Rural Municipality
Bagmati,Dolakha,Baiteshowr Rural Municipality
Bagmati,Dolakha,Sailung Rural Municipality
Bagmati,Dolakha,Tamakoshi Rural Municipality
Bagmati,Kathmandu,Kathmandu Metropolitan City
Bagmati,Kathmandu,Gokarneshwar Municipality
Bagmati,Kathmandu,Kirtipur Municipality
Bagmati,Kathmandu,Kageshwari-Manohara Municipality
Bagmati,Kathmandu,Chandragiri Municipality
Bagmati,Kathmandu,Tokha Municipality
Bagmati,Kathmandu,Tarakeshwar Municipality
Bagmati,Kathmandu,Dakshinkali Municipality
Bagmati,Kathmandu,Nagarjun Municipality
Bagmati,Kathmandu,Budhalikantha Municipality
Bagmati,Kathmandu,Shankharapur Municipality
Bagmati,Kavrepalanchok,Dhulikhel Municipality
Bagmati,Kavrepalanchok,Namobuddha Municipality
Bagmati,Kavrepalanchok,Panauti Municipality
Bagmati,Kavrepalanchok,Panchkhal Municipality
Bagmati,Kavrepalanchok,Banepa Municipality
Bagmati,Kavrepalanchok,Mandandeupur Municipality
Bagmati,Kavrepalanchok,Khani Khola Rural Municipality
Bagmati,Kavrepalanchok,Chauri Deurali Rural Municipality
Bagmati,Kavrepalanchok,Temal Rural Municipality
Bagmati,Kavrepalanchok,Bethanchok Rural Municipality
Bagmati,Kavrepalanchok,Bhumlu Rural Municipality
Bagmati,Kavrepalanchok,Mahabharat Rural Municipality
Bagmati,Kavrepalanchok,Roshi Rural Municipality
Bagmati,Lalitpur,Lalitpur Metropolitan City
Bagmati,Lalitpur,Mahalaxmi Municipality
Bagmati,Lalitpur,Godawari Municipality
Bagmati,Lalitpur,Konjyosom Rural Municipality
Bagmati,Lalitpur,Bagmati Rural Municipality
Bagmati,Lalitpur,Mahankal Rural Municipality
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City
Bagmati,Makwanpur,Thaha Municipality
Bagmati,Makwanpur,Bhimphedi Rural Municipality
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality
Bagmati,Makwanpur,Manahari Rural Municipality
Bagmati,Makwanpur,Raksirang Rural Municipality
Bagmati,Makwanpur,Bakaiya Rural Municipality
Bagmati,Makwanpur,Bagmati Rural Municipality
Bagmati,Makwanpur,Kailash Rural Municipality
Bagmati,Makwanpur,Indrasarowar Rural Municipality
Bagmati,Nuwakot,Bidur Municipality
Bagmati,Nuwakot,Belkotgadhi Municipality
Bagmati,Nuwakot,Kakani Rural Municipality
Bagmati,Nuwakot,Panchakanya Rural Municipality
Bagmati,Nuwakot,Likhu Rural Municipality
Bagmati,Nuwakot,Dupcheshwar Rural Municipality
Bagmati,Nuwakot,Shivapuri Rural Municipality
Bagmati,Nuwakot,Tadi Rural Municipality
Bagmati,Nuwakot,Suryagadhi Rural Municipality
Bagmati,Nuwakot,Tarkeshwar Rural Municipality
Bagmati,Nuwakot,Kispang Rural Municipality
Bagmati,Nuwakot,Myagang Rural Municipality
Bagmati,Ramechap,Manthali Municipality
Bagmati,Ramechap,Ramechhap Municipality
Bagmati,Ramechap,Umakunda Rural Municipality
Bagmati,Ramechap,Khandadevi Rural Municipality
Bagmati,Ramechap,Doramba Rural Municipality
Bagmati,Ramechap,Gokulganga Rural Municipality
Bagmati,Ramechap,LikhuTamakoshi Rural Municipality
Bagmati,Ramechap,Sunapati Rural Municipality
Bagmati,Rasuwa,Kalika Rural Municipality
Bagmati,Rasuwa,Gosaikunda Rural Municipality
Bagmati,Rasuwa,Naukunda Rural Municipality
Bagmati,Rasuwa,Parbatikunda Rural Municipality
Bagmati,Rasuwa,Uttargaya Rural Municipality
Bagmati,Sindhuli,Kamalamai Municipality
Bagmati,Sindhuli,Dudhauli Municipality
Bagmati,Sindhuli,Sunkoshi Rural Municipality
Bagmati,Sindhuli,Hariharpurgadhi Rural Municipality
Bagmati,Sindhuli,Tinpatan Rural Municipality
Bagmati,Sindhuli,Marin Rural Municipality
Bagmati,Sindhuli,Golanjor Rural Municipality
Bagmati,Sindhuli,Phikkal Rural Municipality
Bagmati,Sindhuli,Ghyanglekh Rural Municipality
Bagmati,Sindhupalchok,Chautara Sangachowkgadi Municipality
Bagmati,Sindhupalchok,Bahrabise Municipality
Bagmati,Sindhupalchok,Melamchi Municipality
Bagmati,Sindhupalchok,Balephi Rural Municipality
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality
Bagmati,Sindhupalchok,Indrawati Rural Municipality
Bagmati,Sindhupalchok,Jugal Rural Municipality
Bagmati,Sindhupalchok,Panchpokhari Rural Municipality
Bagmati,Sindhupalchok,Bhotekoshi Rural Municipality
Bagmati,Sindhupalchok,Lisankhu Rural Municipality
Bagmati,Sindhupalchok,Helambu Rural Municipality
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality
Gandaki,Baglung,Baglung Municipality
Gandaki,Baglung,Dhorpatan Municipality
Gandaki,Baglung,Galkot Municipality
Gandaki,Baglung,Jaimuni Municipality
Gandaki,Baglung,Bareng Rural Municipality
